timestamp,elapsed_s,svm_proba,pose_score,fused_proba,label,fall_predicted,risk_slope,trunk_lean_deg,knee_asymmetry,head_drop_rate
03:57:25.848,0.0,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
03:57:26.049,0.2,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
03:57:26.249,0.4,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
03:57:26.450,0.6,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
03:57:26.650,0.8,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
03:57:26.851,1.0,0.0000,0.1794,0.0807,0,0,0.01153,11.92,0.363,0.0
03:57:27.053,1.21,0.0132,0.1794,0.1169,0,0,0.01829,11.92,0.363,0.0
03:57:27.254,1.41,0.0133,0.0045,0.0667,0,0,0.01540,-0.47,0.106,0.0
03:57:27.455,1.61,0.0135,0.0060,0.0668,0,0,0.01467,0.56,0.055,0.0
03:57:27.655,1.81,0.0136,0.0118,0.0680,0,0,0.01245,1.15,0.18,0.0
03:57:27.856,2.01,0.0134,0.0124,0.0670,0,0,0.00853,1.61,0.201,0.0
03:57:28.056,2.21,0.0134,0.0151,0.0670,0,0,0.00853,1.87,0.242,0.0
03:57:28.256,2.41,0.0135,0.0161,0.0671,0,0,0.00303,0.39,0.253,0.0
03:57:28.457,2.61,0.0133,0.0143,0.0664,0,0,-0.00416,1.29,0.262,0.0
03:57:28.658,2.81,0.0134,0.0139,0.0668,0,0,-0.00003,0.92,0.179,0.0
03:57:28.858,3.01,0.0133,0.0103,0.0668,0,0,-0.00003,1.1,0.085,0.0001
03:57:29.060,3.21,0.0133,0.0117,0.0667,0,0,-0.00010,0.99,0.06,0.0004
03:57:29.262,3.41,0.0133,0.0109,0.0666,0,0,-0.00016,1.09,0.128,0.0001
03:57:29.462,3.61,0.0133,0.0109,0.0665,0,0,-0.00009,0.8,0.211,0.0
03:57:29.662,3.81,0.0133,0.0095,0.0666,0,0,-0.00010,1.23,0.095,0.0001
03:57:29.863,4.02,0.0133,0.0135,0.0666,0,0,-0.00008,0.47,0.226,0.0001
03:57:30.063,4.22,0.0132,0.0093,0.0666,0,0,0.00000,0.82,0.153,0.0
03:57:30.264,4.42,0.0132,0.0141,0.0660,0,0,-0.00007,0.65,0.22,0.0
03:57:30.464,4.62,0.0132,0.0109,0.0662,0,0,-0.00007,0.66,0.183,0.0001
03:57:30.665,4.82,0.0132,0.0085,0.0662,0,0,-0.00008,0.62,0.058,0.0
03:57:30.865,5.02,0.0133,0.0103,0.0661,0,0,-0.00008,0.81,0.12,0.0001
03:57:31.066,5.22,0.0133,0.0117,0.0664,0,0,-0.00006,1.37,0.163,0.0
03:57:31.271,5.42,0.0134,0.0098,0.0668,0,0,0.00006,0.81,0.13,0.0
03:57:31.473,5.63,0.0134,0.0100,0.0670,0,0,0.00014,1.22,0.146,0.0
03:57:31.673,5.83,0.0133,0.0108,0.0670,0,0,0.00014,1.05,0.119,0.0
03:57:31.874,6.03,0.0134,0.0108,0.0667,0,0,0.00012,0.72,0.189,0.0
03:57:32.074,6.23,0.0128,0.0142,0.0668,0,0,0.00011,0.85,0.252,0.0001
03:57:32.275,6.43,0.0126,0.0103,0.0642,0,0,-0.00013,0.33,0.217,0.0001
03:57:32.475,6.63,0.0127,0.0106,0.0631,0,0,-0.00043,0.64,0.183,0.0
03:57:32.676,6.83,0.0127,0.0127,0.0636,0,0,-0.00058,1.15,0.225,0.0
03:57:32.876,7.03,0.0128,0.0137,0.0637,0,0,-0.00062,0.7,0.348,0.0
03:57:33.077,7.23,0.0129,0.0102,0.0638,0,0,-0.00057,0.95,0.183,0.0
03:57:33.278,7.43,0.0128,0.0135,0.0643,0,0,-0.00039,0.42,0.27,0.0001
03:57:33.478,7.63,0.0130,0.0101,0.0638,0,0,-0.00022,1.1,0.123,0.0001
03:57:33.679,7.83,0.0127,0.0136,0.0649,0,0,0.00013,1.03,0.243,0.0001
03:57:33.879,8.03,0.0129,0.0107,0.0635,0,0,0.00012,0.68,0.186,0.0
03:57:34.080,8.23,0.0130,0.0110,0.0646,0,0,0.00010,-0.13,0.261,0.0001
03:57:34.280,8.43,0.0130,0.0094,0.0649,0,0,0.00014,0.11,0.247,0.0002
03:57:34.480,8.63,0.0137,0.0085,0.0650,0,0,0.00015,0.4,0.139,0.0001
03:57:34.681,8.83,0.0139,0.0020,0.0687,0,0,0.00046,0.8,0.006,0.0
03:57:34.882,9.03,0.0139,0.0058,0.0693,0,0,0.00075,0.98,0.062,0.0
03:57:35.082,9.23,0.0139,0.0083,0.0696,0,0,0.00089,0.63,0.101,0.0001
03:57:35.283,9.44,0.0141,0.0121,0.0697,0,0,0.00102,0.48,0.269,0.0001
03:57:35.484,9.64,0.0141,0.0088,0.0704,0,0,0.00094,0.33,0.193,0.0
03:57:35.684,9.84,0.0141,0.0053,0.0705,0,0,0.00083,0.27,0.114,0.0
03:57:35.885,10.04,0.0142,0.0068,0.0707,0,0,0.00062,0.67,0.067,0.0
03:57:36.086,10.24,0.0142,0.0080,0.0709,0,0,0.00030,0.77,0.119,0.0002
03:57:36.286,10.44,0.0142,0.0054,0.0711,0,0,0.00026,0.63,0.044,0.0001
03:57:36.487,10.64,0.0142,0.0072,0.0711,0,0,0.00023,0.96,0.094,0.0001
03:57:36.687,10.84,0.0142,0.0057,0.0709,0,0,0.00016,0.67,0.041,0.0003
03:57:36.888,11.04,0.0142,0.0041,0.0711,0,0,0.00009,0.75,0.01,0.0
03:57:37.088,11.24,0.0143,0.0071,0.0710,0,0,0.00006,0.89,0.102,0.0
03:57:37.289,11.44,0.0154,0.0106,0.0716,0,0,0.00008,0.97,0.204,0.0002
03:57:37.490,11.64,0.0140,0.0151,0.0769,0,0,0.00053,1.11,0.306,0.0002
03:57:37.690,11.84,0.0142,0.0117,0.0698,0,0,0.00026,0.78,0.182,0.0001
03:57:37.890,12.04,0.0142,0.0146,0.0709,0,0,0.00013,0.56,0.226,0.0
03:57:38.091,12.24,0.0150,0.0101,0.0711,0,0,0.00003,0.12,0.154,0.0
03:57:38.292,12.44,0.0143,0.0156,0.0749,0,0,0.00022,-0.1,0.329,0.0002
03:57:38.492,12.64,0.0142,0.0139,0.0716,0,0,0.00006,-0.8,0.258,0.0005
03:57:38.693,12.85,0.0143,0.0142,0.0712,0,0,-0.00016,-1.97,0.376,0.0004
03:57:38.896,13.05,0.0143,0.0125,0.0713,0,0,-0.00031,-1.78,0.255,0.0001
03:57:39.097,13.25,0.0147,0.0196,0.0717,0,0,0.00015,-3.37,0.614,0.0
03:57:39.297,13.45,0.0146,0.0300,0.0734,0,0,0.00011,-5.4,0.826,0.0
03:57:39.498,13.65,0.0148,0.0448,0.0731,0,0,0.00008,-8.81,0.367,0.0008
03:57:39.698,13.85,0.0153,0.0780,0.0740,0,0,0.00010,-8.58,0.51,0.0029
03:57:39.898,14.05,0.0165,0.1978,0.0773,0,0,0.00073,8.49,1.543,0.0123
03:57:40.098,14.25,0.0169,0.8710,0.1343,0,0,0.00569,40.96,4.54,0.0243
03:57:40.300,14.45,0.0173,0.8325,0.4524,1,0,0.03564,74.2,1.293,0.0447
03:57:40.502,14.65,0.0177,0.8055,0.4524,1,0,0.03564,81.26,0.636,0.0322
03:57:40.703,14.86,0.0177,0.6620,0.4524,1,0,0.03564,69.98,0.766,0.0146
03:57:40.904,15.06,0.0177,0.5554,0.3012,1,0,0.04391,68.27,0.103,0.0016
03:57:41.104,15.26,0.0165,0.5608,0.2992,1,1,0.04659,43.33,0.514,0.0
03:57:41.305,15.46,0.0157,0.5987,0.3131,1,1,0.04519,49.1,0.611,0.0
03:57:41.505,15.66,0.0157,0.5553,0.2964,1,1,0.03666,36.33,0.391,0.0
03:57:41.706,15.86,0.0157,0.5536,0.2975,1,1,0.02300,31.24,0.797,0.0
03:57:41.906,16.06,0.0157,0.5322,0.2958,1,1,0.00424,30.51,0.182,0.0
03:57:42.106,16.26,0.0155,0.6155,0.2812,1,1,-0.01484,55.43,0.093,0.0
03:57:42.307,16.46,0.0154,0.5475,0.2957,1,1,-0.00213,56.03,0.828,0.0
03:57:42.509,16.66,0.0166,0.6560,0.3077,1,1,-0.00089,70.12,2.43,0.0
03:57:42.710,16.86,0.0177,0.6287,0.3388,1,1,0.00258,68.12,1.084,0.0
03:57:42.911,17.06,0.0177,0.6172,0.3328,1,1,0.00609,64.04,2.126,0.0018
03:57:43.111,17.26,0.0177,0.6266,0.3197,1,1,0.00625,55.94,2.102,0.0
03:57:43.312,17.46,0.0177,0.5672,0.2949,1,1,0.00391,57.98,1.746,0.0
03:57:43.513,17.67,0.0177,0.5592,0.2994,1,1,0.00182,52.76,0.224,0.0012
03:57:43.713,17.87,0.0177,0.5723,0.3062,1,1,-0.00135,49.15,0.48,0.0011
03:57:43.914,18.07,0.0177,0.5511,0.2976,1,1,-0.00427,48.69,1.162,0.0
03:57:44.114,18.27,0.0177,0.5517,0.3066,1,1,-0.00521,40.07,0.867,0.0001
03:57:44.314,18.47,0.0177,0.5368,0.2929,1,1,-0.00393,56.22,0.441,0.0
03:57:44.515,18.67,0.0176,0.5396,0.3037,1,1,-0.00131,53.61,0.158,0.0
03:57:44.716,18.87,0.0165,0.5532,0.2942,1,1,-0.00018,56.73,0.174,0.0
03:57:44.916,19.07,0.0158,0.0000,0.3118,1,1,0.00037,0.0,0.0,0.0
03:57:45.117,19.27,0.0158,0.0000,0.0792,0,0,-0.01839,0.0,0.0,0.0
03:57:45.317,19.47,0.0158,0.0000,0.0792,0,0,-0.03118,0.0,0.0,0.0
03:57:45.523,19.68,0.0159,0.5896,0.2947,1,0,-0.02152,33.28,0.441,0.0
03:57:45.724,19.88,0.0162,0.6167,0.2898,1,0,-0.01124,40.58,2.44,0.0022
03:57:45.925,20.08,0.0173,0.0000,0.0831,0,0,-0.01925,0.0,0.0,0.0
03:57:46.125,20.28,0.0176,0.5999,0.3448,1,0,0.00069,43.48,1.864,0.0
03:57:46.326,20.48,0.0177,0.5670,0.3252,1,1,0.01701,43.68,0.549,0.0
