timestamp,elapsed_s,svm_proba,pose_score,fused_proba,label,fall_predicted,risk_slope,trunk_lean_deg,knee_asymmetry,head_drop_rate
01:31:16.243,0.0,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
01:31:16.445,0.2,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
01:31:16.645,0.4,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
01:31:16.846,0.6,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
01:31:17.047,0.8,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
01:31:17.247,1.0,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
01:31:17.448,1.2,0.0073,0.0000,0.0073,0,0,0.00078,0.0,0.0,0.0
01:31:17.648,1.41,0.0070,0.0772,0.0386,0,0,0.00365,8.49,0.108,0.0
01:31:17.849,1.61,0.0050,0.0772,0.0375,0,0,0.00568,8.49,0.108,0.0
01:31:18.049,1.81,0.0064,0.0772,0.0383,0,0,0.00689,8.49,0.108,0.0
01:31:18.250,2.01,0.0054,0.0772,0.0377,0,0,0.00713,8.49,0.108,0.0
01:31:18.450,2.21,0.0063,0.0339,0.0063,0,0,0.00386,-1.36,0.253,0.0032
01:31:18.651,2.41,0.0065,0.0409,0.0065,0,0,0.00046,-0.72,0.239,0.0048
01:31:18.851,2.61,0.0092,0.0597,0.0319,0,0,-0.00098,-1.24,0.567,0.0055
01:31:19.052,2.81,0.0090,0.0604,0.0321,0,0,-0.00238,-1.17,0.311,0.0055
01:31:19.253,3.01,0.0093,0.0465,0.0093,0,0,-0.00292,-0.81,0.059,0.0048
01:31:19.453,3.21,0.0082,0.0226,0.0082,0,0,-0.00297,-1.38,0.034,0.0021
01:31:19.654,3.41,0.0097,0.0245,0.0097,0,0,-0.00212,-1.97,0.728,0.0003
01:31:19.855,3.61,0.0068,0.0117,0.0068,0,0,-0.00089,-1.09,0.136,0.0002
01:31:20.056,3.81,0.0059,0.0248,0.0059,0,0,-0.00235,-0.76,0.556,0.0
01:31:20.256,4.01,0.0066,0.0341,0.0066,0,0,-0.00373,-1.01,0.729,0.0
01:31:20.456,4.21,0.0087,0.0172,0.0087,0,0,-0.00223,-0.47,0.487,0.0
01:31:20.657,4.41,0.0035,0.0262,0.0035,0,0,-0.00057,-0.46,0.577,0.0
01:31:20.858,4.61,0.0035,0.0241,0.0035,0,0,-0.00069,-0.62,0.466,0.0
01:31:21.058,4.82,0.0043,0.0217,0.0043,0,0,-0.00071,-0.4,0.629,0.0004
01:31:21.259,5.02,0.0111,0.0067,0.0111,0,0,0.00008,-0.87,0.124,0.0003
01:31:21.460,5.22,0.0106,0.0216,0.0106,0,0,0.00050,-0.99,0.65,0.0
01:31:21.660,5.42,0.0124,0.0039,0.0106,0,0,0.00050,-0.25,0.087,0.0
01:31:21.861,5.62,0.0126,0.0182,0.0618,0,0,0.00500,-0.53,0.605,0.0
01:31:22.062,5.82,0.0131,0.0012,0.0632,0,0,0.00836,-1.08,0.014,0.0
01:31:22.262,6.02,0.0136,0.0306,0.0653,0,0,0.01076,-1.39,0.936,0.0
01:31:22.463,6.22,0.0110,0.0327,0.0678,0,0,0.01146,-0.94,1.006,0.0003
01:31:22.663,6.42,0.0114,0.0323,0.0110,0,0,0.00590,-1.39,0.626,0.0005
01:31:22.865,6.62,0.0108,0.0597,0.0328,0,0,-0.00299,-1.48,1.235,0.0002
01:31:23.066,6.82,0.0087,0.0202,0.0087,0,0,-0.00884,-1.12,0.333,0.0001
01:31:23.266,7.02,0.0062,0.0195,0.0062,0,0,-0.00937,-1.29,0.213,0.0
01:31:23.468,7.22,0.0051,0.0351,0.0051,0,0,-0.00851,-1.11,0.759,0.0
01:31:23.670,7.43,0.0049,0.0575,0.0286,0,0,-0.00409,-1.32,0.713,0.0
01:31:23.870,7.63,0.0050,0.0579,0.0288,0,0,0.00149,-1.8,0.862,0.0
01:31:24.071,7.83,0.0062,0.0393,0.0062,0,0,0.00003,-2.67,0.514,0.0
01:31:24.272,8.03,0.0127,0.0556,0.0599,0,0,0.00319,-2.66,0.867,0.0
01:31:24.473,8.23,0.0071,0.0636,0.0325,0,0,0.00522,-2.99,0.923,0.0
01:31:24.673,8.43,0.0046,0.0640,0.0313,0,0,0.00457,-2.52,1.095,0.0
01:31:24.873,8.63,0.0045,0.0640,0.0313,0,0,0.00311,-2.52,1.095,0.0
01:31:25.074,8.83,0.0046,0.0687,0.0335,0,0,0.00112,-2.5,1.252,0.0
01:31:25.275,9.03,0.0045,0.0564,0.0335,0,0,0.00112,-2.02,0.911,0.0
01:31:25.476,9.23,0.0044,0.0752,0.0279,0,0,0.00051,-1.96,1.234,0.0
01:31:25.677,9.43,0.0046,0.0411,0.0046,0,0,-0.00448,-1.67,0.759,0.0
01:31:25.878,9.63,0.0103,0.0411,0.0103,0,0,-0.00333,-1.67,0.759,0.0
01:31:26.078,9.84,0.0095,0.0429,0.0103,0,0,-0.00333,-1.26,1.011,0.0
01:31:26.279,10.04,0.0097,0.0474,0.0097,0,0,-0.00422,-1.68,0.855,0.0
01:31:26.481,10.24,0.0093,0.0429,0.0093,0,0,-0.00398,-1.1,0.709,0.0
01:31:26.681,10.44,0.0081,0.0524,0.0093,0,0,-0.00398,-2.39,0.962,0.0
01:31:26.882,10.64,0.0062,0.0686,0.0343,0,0,0.00119,-2.45,1.329,0.0
01:31:27.083,10.84,0.0072,0.0661,0.0343,0,0,0.00119,-1.84,0.818,0.0012
01:31:27.284,11.04,0.0077,0.0795,0.0337,0,0,0.00450,-2.08,1.014,0.0021
01:31:27.485,11.24,0.0068,0.0793,0.0394,0,0,0.00524,-1.62,1.116,0.0037
01:31:27.686,11.44,0.0081,0.0809,0.0394,0,0,0.00524,-1.67,1.179,0.0034
01:31:27.888,11.65,0.0084,0.0667,0.0346,0,0,0.00313,-1.75,0.762,0.0017
01:31:28.090,11.85,0.0095,0.0521,0.0287,0,0,0.00032,-1.13,0.468,0.0015
01:31:28.290,12.05,0.0109,0.0441,0.0287,0,0,0.00032,-1.41,0.656,0.0009
01:31:28.490,12.25,0.0106,0.0205,0.0109,0,0,-0.00242,-0.62,0.011,0.0005
01:31:28.691,12.45,0.0092,0.0219,0.0092,0,0,-0.00542,-0.19,0.168,0.0003
01:31:28.892,12.65,0.0085,0.0459,0.0085,0,0,-0.00553,-0.13,0.761,0.0003
01:31:29.094,12.85,0.0082,0.0354,0.0082,0,0,-0.00498,-1.11,0.693,0.0
01:31:29.295,13.05,0.0044,0.0382,0.0044,0,0,-0.00384,-0.74,0.693,0.0
01:31:29.495,13.25,0.0046,0.0489,0.0046,0,0,-0.00249,-0.98,0.976,0.0
01:31:29.697,13.45,0.0046,0.0404,0.0046,0,0,-0.00105,-0.44,0.702,0.0
01:31:29.897,13.65,0.0046,0.0272,0.0046,0,0,-0.00105,-0.68,0.359,0.0
01:31:30.098,13.85,0.0045,0.0306,0.0045,0,0,-0.00075,-0.37,0.426,0.0
01:31:30.298,14.06,0.0040,0.0476,0.0040,0,0,-0.00059,-1.02,0.899,0.0004
01:31:30.503,14.26,0.0046,0.0447,0.0046,0,0,-0.00033,0.01,0.768,0.0003
01:31:30.704,14.46,0.0045,0.0545,0.0270,0,0,0.00186,-0.3,1.058,0.0006
01:31:30.904,14.66,0.0048,0.0549,0.0274,0,0,0.00323,-0.3,1.058,0.0006
01:31:31.105,14.86,0.0063,0.0376,0.0063,0,0,0.00231,-0.4,0.547,0.0003
01:31:31.306,15.06,0.0071,0.0321,0.0071,0,0,0.00142,-0.54,0.318,0.0
01:31:31.506,15.26,0.0080,0.0374,0.0080,0,0,0.00054,-1.1,0.662,0.0
01:31:31.706,15.46,0.0057,0.0377,0.0057,0,0,-0.00061,-0.95,0.698,0.0
01:31:31.907,15.66,0.0049,0.0386,0.0049,0,0,-0.00192,-0.75,0.624,0.0
01:31:32.107,15.86,0.0054,0.0293,0.0054,0,0,-0.00314,-0.9,0.229,0.0
01:31:32.307,16.06,0.0054,0.0319,0.0054,0,0,-0.00199,-0.95,0.313,0.0002
01:31:32.507,16.26,0.0131,0.0306,0.0653,0,0,0.00472,-0.66,0.519,0.0002
01:31:32.708,16.47,0.0150,0.0367,0.0750,0,0,0.00907,-0.31,0.566,0.0004
01:31:32.909,16.67,0.0142,0.0363,0.0711,0,0,0.01154,-0.31,0.566,0.0003
01:31:33.110,16.87,0.0124,0.0420,0.0622,0,0,0.01185,-0.52,0.607,0.0002
01:31:33.311,17.07,0.0123,0.0385,0.0622,0,0,0.01185,-0.64,0.63,0.0002
01:31:33.512,17.27,0.0116,0.0293,0.0116,0,0,0.00371,-0.64,0.272,0.0
01:31:33.712,17.47,0.0096,0.0404,0.0116,0,0,0.00371,-0.24,0.568,0.0
01:31:33.913,17.67,0.0105,0.0444,0.0105,0,0,-0.01059,-0.14,0.603,0.0
