timestamp,elapsed_s,svm_proba,pose_score,fused_proba,label,fall_predicted,risk_slope,trunk_lean_deg,knee_asymmetry,head_drop_rate
14:14:53.545,0.0,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
14:14:53.753,0.21,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
14:14:53.953,0.41,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
14:14:54.154,0.61,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
14:14:54.355,0.81,0.0000,0.0000,0.0000,0,0,0.00000,0.0,0.0,0.0
14:14:54.555,1.01,0.0000,0.5879,0.0000,0,0,0.00000,37.92,2.637,0.0
14:14:54.756,1.21,0.0038,0.0664,0.0320,0,0,0.00342,5.38,1.318,0.0
14:14:54.960,1.41,0.0037,0.0189,0.0037,0,0,0.00221,4.93,0.039,0.0
14:14:55.161,1.62,0.0036,0.0111,0.0037,0,0,0.00167,4.02,0.01,0.0
14:14:55.361,1.82,0.0033,0.0154,0.0033,0,0,0.00101,4.81,0.044,0.0011
14:14:55.561,2.02,0.0030,0.0023,0.0033,0,0,0.00101,6.49,0.01,0.0
14:14:55.762,2.22,0.0030,0.0023,0.0030,0,0,-0.00060,9.1,0.014,0.0
14:14:55.962,2.42,0.0030,0.0067,0.0030,0,0,-0.00151,6.39,0.125,0.0
14:14:56.165,2.62,0.0035,0.0148,0.0035,0,0,-0.00244,6.72,0.383,0.0
14:14:56.367,2.82,0.0037,0.0293,0.0037,0,0,-0.00002,7.63,0.561,0.0
14:14:56.567,3.02,0.0036,0.0255,0.0036,0,0,0.00004,4.99,0.633,0.0
14:14:56.769,3.22,0.0033,0.0297,0.0036,0,0,0.00004,2.58,0.86,0.0
14:14:57.006,3.46,0.0033,0.0304,0.0033,0,0,0.00007,2.78,0.858,0.0
14:14:57.209,3.66,0.0035,0.0150,0.0033,0,0,0.00007,3.44,0.492,0.0
14:14:57.409,3.86,0.0031,0.0185,0.0035,0,0,0.00005,2.66,0.598,0.0
14:14:57.610,4.06,0.0023,0.0177,0.0031,0,0,-0.00001,2.58,0.414,0.0
14:14:57.811,4.27,0.0023,0.0268,0.0023,0,0,-0.00015,2.21,0.681,0.0
14:14:58.011,4.47,0.0022,0.0312,0.0023,0,0,-0.00020,3.06,0.831,0.0
14:14:58.212,4.67,0.0022,0.0213,0.0022,0,0,-0.00022,2.27,0.648,0.0
14:14:58.412,4.87,0.0022,0.0257,0.0022,0,0,-0.00021,3.21,0.833,0.0
14:14:58.613,5.07,0.0023,0.0187,0.0022,0,0,-0.00020,2.93,0.6,0.0
14:14:58.813,5.27,0.0022,0.0238,0.0023,0,0,-0.00015,3.31,0.793,0.0
14:14:59.014,5.47,0.0023,0.0241,0.0022,0,0,-0.00007,2.9,0.672,0.0
14:14:59.214,5.67,0.0023,0.0198,0.0023,0,0,-0.00000,2.95,0.576,0.0
14:14:59.416,5.87,0.0023,0.0259,0.0023,0,0,0.00000,3.12,0.787,0.0
14:14:59.618,6.07,0.0026,0.0164,0.0026,0,0,0.00004,2.81,0.533,0.0
14:14:59.820,6.27,0.0026,0.0240,0.0026,0,0,0.00004,3.77,0.761,0.0
14:15:00.021,6.48,0.0026,0.0167,0.0026,0,0,0.00005,2.21,0.453,0.0
14:15:00.225,6.68,0.0025,0.0214,0.0025,0,0,0.00006,1.83,0.613,0.0
14:15:00.426,6.88,0.0025,0.0194,0.0025,0,0,0.00004,2.41,0.557,0.0
14:15:00.626,7.08,0.0025,0.0148,0.0025,0,0,0.00002,3.34,0.43,0.0003
14:15:00.827,7.28,0.0025,0.0211,0.0025,0,0,0.00001,2.71,0.646,0.0001
14:15:01.027,7.48,0.0025,0.0303,0.0025,0,0,-0.00002,2.18,0.771,0.0002
14:15:01.228,7.68,0.0026,0.0223,0.0026,0,0,-0.00000,2.77,0.546,0.0003
14:15:01.429,7.88,0.0022,0.0233,0.0022,0,0,-0.00002,3.72,0.768,0.0
14:15:01.629,8.08,0.0022,0.0298,0.0022,0,0,-0.00004,2.19,0.758,0.0
14:15:01.831,8.29,0.0021,0.0200,0.0021,0,0,-0.00006,2.98,0.636,0.0
14:15:02.031,8.49,0.0021,0.0195,0.0021,0,0,-0.00007,3.68,0.615,0.0
14:15:02.231,8.69,0.0018,0.0260,0.0018,0,0,-0.00010,2.73,0.783,0.0
14:15:02.432,8.89,0.0018,0.0376,0.0018,0,0,-0.00011,2.68,0.943,0.0002
14:15:02.633,9.09,0.0018,0.0308,0.0018,0,0,-0.00011,1.81,0.834,0.0003
14:15:02.834,9.29,0.0018,0.0204,0.0018,0,0,-0.00011,1.62,0.4,0.0
14:15:03.035,9.49,0.0017,0.0260,0.0017,0,0,-0.00007,2.11,0.743,0.0
14:15:03.236,9.69,0.0017,0.0131,0.0017,0,0,-0.00006,1.85,0.232,0.0002
14:15:03.437,9.89,0.0017,0.0237,0.0017,0,0,-0.00004,3.24,0.631,0.0004
14:15:03.637,10.09,0.0018,0.0214,0.0017,0,0,-0.00004,1.98,0.546,0.0
14:15:03.838,10.29,0.0018,0.0220,0.0018,0,0,-0.00000,2.66,0.685,0.0
14:15:04.038,10.49,0.0018,0.0172,0.0018,0,0,0.00001,2.31,0.437,0.0
14:15:04.239,10.69,0.0019,0.0171,0.0019,0,0,0.00002,2.69,0.383,0.0
14:15:04.440,10.89,0.0019,0.0188,0.0019,0,0,0.00004,2.09,0.409,0.0
14:15:04.641,11.1,0.0020,0.0218,0.0020,0,0,0.00004,1.92,0.527,0.0001
14:15:04.845,11.3,0.0021,0.0295,0.0021,0,0,0.00005,2.17,0.787,0.0
14:15:05.046,11.5,0.0022,0.0174,0.0022,0,0,0.00006,2.03,0.496,0.0
14:15:05.246,11.7,0.0023,0.0231,0.0022,0,0,0.00006,1.35,0.556,0.0001
14:15:05.447,11.9,0.0024,0.0120,0.0024,0,0,0.00008,1.81,0.192,0.0
14:15:05.647,12.1,0.0026,0.0236,0.0024,0,0,0.00008,2.34,0.571,0.0
14:15:05.848,12.3,0.0027,0.0171,0.0027,0,0,0.00011,2.44,0.498,0.0001
14:15:06.049,12.5,0.0029,0.0155,0.0027,0,0,0.00011,3.61,0.377,0.0003
14:15:06.251,12.71,0.0030,0.0225,0.0030,0,0,0.00013,4.84,0.6,0.0006
14:15:06.452,12.91,0.0029,0.0407,0.0029,0,0,0.00012,7.13,0.963,0.0008
14:15:06.652,13.11,0.0029,0.0643,0.0305,0,0,0.00240,5.04,1.428,0.0015
14:15:06.853,13.31,0.0036,0.0981,0.0461,0,0,0.00531,1.65,2.126,0.0018
14:15:07.054,13.51,0.0039,0.0655,0.0316,0,0,0.00599,1.82,1.3,0.0015
14:15:07.255,13.71,0.0041,0.0495,0.0041,0,0,0.00369,1.69,0.738,0.0015
14:15:07.455,13.91,0.0035,0.0833,0.0394,0,0,0.00432,4.2,1.803,0.003
14:15:07.656,14.11,0.0037,0.0316,0.0037,0,0,0.00112,4.97,0.172,0.0034
14:15:07.858,14.31,0.0039,0.0591,0.0287,0,0,-0.00001,5.17,0.835,0.0032
14:15:08.059,14.51,0.0037,0.0537,0.0262,0,0,-0.00197,2.28,0.963,0.0033
14:15:08.259,14.71,0.0035,0.0725,0.0262,0,0,-0.00197,4.7,1.757,0.0023
14:15:08.461,14.92,0.0031,0.0584,0.0280,0,0,0.00133,5.53,1.063,0.001
14:15:08.664,15.12,0.0041,0.1943,0.0897,0,0,0.00752,14.57,1.566,0.0
14:15:08.865,15.32,0.0041,0.0724,0.0348,0,0,0.00480,8.21,1.895,0.0
14:15:09.066,15.52,0.0041,0.0774,0.0371,0,0,0.00533,0.24,1.148,0.0
14:15:09.266,15.72,0.0041,0.0676,0.0371,0,0,0.00533,-0.11,1.188,0.0
14:15:09.469,15.92,0.0043,0.0547,0.0327,0,0,0.00172,5.3,1.45,0.0
14:15:09.670,16.12,0.0034,0.0352,0.0270,0,0,-0.00038,7.68,1.032,0.0
14:15:09.871,16.33,0.0031,0.0033,0.0034,0,0,-0.00466,8.66,0.087,0.0
14:15:10.071,16.53,0.0031,0.0174,0.0031,0,0,-0.00754,4.11,0.281,0.0
14:15:10.272,16.73,0.0032,0.0249,0.0031,0,0,-0.01038,3.48,0.535,0.0
14:15:10.472,16.93,0.0030,0.0129,0.0032,0,0,-0.00599,3.87,0.244,0.0
14:15:10.673,17.13,0.0029,0.0163,0.0030,0,0,-0.00545,3.78,0.359,0.0002
14:15:10.873,17.33,0.0028,0.0320,0.0029,0,0,-0.00391,5.6,0.891,0.0006
14:15:11.074,17.53,0.0029,0.1077,0.0028,0,0,-0.00205,1.29,2.629,0.0013
14:15:11.274,17.73,0.0035,0.1229,0.0501,0,0,0.00386,0.31,1.925,0.0023
14:15:11.475,17.93,0.0035,0.0689,0.0572,0,0,0.00729,-1.43,0.352,0.0023
14:15:11.678,18.13,0.0034,0.0710,0.0338,0,0,0.00684,-0.6,0.937,0.002
14:15:11.879,18.33,0.0034,0.0603,0.0338,0,0,0.00684,1.15,0.59,0.0029
14:15:12.080,18.53,0.0034,0.0731,0.0347,0,0,0.00334,5.32,1.035,0.004
14:15:12.281,18.74,0.0032,0.0543,0.0262,0,0,0.00004,3.03,0.524,0.0043
14:15:12.486,18.94,0.0026,0.0614,0.0290,0,0,-0.00359,4.85,0.938,0.0034
14:15:12.687,19.14,0.0023,0.0401,0.0023,0,0,-0.00501,6.29,0.855,0.002
14:15:12.887,19.34,0.0035,0.0701,0.0335,0,0,-0.00193,9.82,1.251,0.0004
14:15:13.088,19.54,0.0037,0.3220,0.1469,0,0,0.00857,27.4,0.599,0.0
14:15:13.289,19.74,0.0035,0.0518,0.0253,0,0,0.00631,5.32,0.721,0.0
14:15:13.490,19.94,0.0037,0.0560,0.0272,0,0,0.00390,-0.75,0.663,0.0
14:15:13.690,20.14,0.0037,0.1005,0.0473,0,0,0.00382,1.64,2.351,0.0
14:15:13.891,20.35,0.0036,0.0710,0.0339,0,0,0.00141,4.18,1.942,0.0
14:15:14.095,20.55,0.0030,0.0536,0.0258,0,0,-0.00155,7.58,1.508,0.0
14:15:14.296,20.75,0.0026,0.0148,0.0026,0,0,-0.00924,7.68,0.444,0.0
14:15:14.496,20.95,0.0023,0.0137,0.0023,0,0,-0.01361,4.09,0.303,0.0
14:15:14.697,21.15,0.0021,0.0227,0.0023,0,0,-0.01361,4.94,0.561,0.0
14:15:14.900,21.35,0.0022,0.0162,0.0021,0,0,-0.00511,4.04,0.32,0.0
14:15:15.101,21.56,0.0021,0.0143,0.0021,0,0,-0.00651,3.84,0.267,0.0
14:15:15.303,21.76,0.0019,0.0244,0.0019,0,0,-0.00410,2.57,0.171,0.0002
14:15:15.503,21.96,0.0020,0.0806,0.0373,0,0,0.00092,3.24,1.804,0.0017
14:15:15.704,22.16,0.0019,0.1410,0.0373,0,0,0.00092,1.23,3.553,0.0026
14:15:15.905,22.36,0.0023,0.1140,0.0645,0,0,0.00724,-2.63,1.724,0.0014
14:15:16.106,22.56,0.0024,0.0616,0.0525,0,0,0.00915,-3.12,0.045,0.0008
14:15:16.306,22.76,0.0024,0.1006,0.0290,0,0,0.00789,-2.23,1.674,0.0009
14:15:16.507,22.96,0.0023,0.0315,0.0466,0,0,0.00744,1.94,0.027,0.0016
14:15:16.709,23.16,0.0023,0.0172,0.0023,0,0,-0.00297,3.14,0.185,0.0013
14:15:16.910,23.36,0.0018,0.0190,0.0018,0,0,-0.00825,2.19,0.279,0.0012
14:15:17.111,23.57,0.0018,0.0128,0.0018,0,0,-0.00825,3.67,0.172,0.0007
14:15:17.312,23.77,0.0020,0.0122,0.0020,0,0,-0.00743,7.03,0.002,0.0003
14:15:17.513,23.97,0.0021,0.0432,0.0021,0,0,-0.00492,7.7,0.985,0.0006
14:15:17.714,24.17,0.0023,0.1139,0.0525,0,0,0.00047,2.33,3.238,0.0006
14:15:17.917,24.37,0.0025,0.1020,0.0473,0,0,0.00674,-0.53,1.998,0.0
14:15:18.117,24.57,0.0024,0.1042,0.0482,0,0,0.00834,-0.63,2.118,0.0
14:15:18.318,24.77,0.0026,0.0654,0.0309,0,0,0.00740,-3.98,0.887,0.0
14:15:18.518,24.97,0.0027,0.0468,0.0027,0,0,0.00337,-0.87,0.605,0.0
14:15:18.721,25.18,0.0030,0.0442,0.0030,0,0,-0.00065,1.02,0.78,0.0
14:15:18.921,25.38,0.0030,0.0309,0.0030,0,0,-0.00468,2.19,0.39,0.0
14:15:19.121,25.58,0.0030,0.0380,0.0030,0,0,-0.00871,6.05,0.838,0.0
14:15:19.322,25.78,0.0031,0.0080,0.0031,0,0,-0.00736,3.41,0.035,0.0
14:15:19.525,25.98,0.0034,0.0155,0.0034,0,0,-0.00538,3.18,0.353,0.0
14:15:19.725,26.18,0.0031,0.0024,0.0031,0,0,-0.00226,4.07,0.01,0.0
14:15:19.926,26.38,0.0028,0.0086,0.0028,0,0,0.00004,3.27,0.145,0.0002
14:15:20.127,26.58,0.0024,0.0093,0.0024,0,0,-0.00005,3.57,0.096,0.0003
14:15:20.329,26.78,0.0024,0.0170,0.0024,0,0,-0.00010,2.5,0.177,0.0
14:15:20.530,26.98,0.0023,0.0062,0.0023,0,0,-0.00014,4.24,0.192,0.0
14:15:20.731,27.19,0.0023,0.0074,0.0023,0,0,-0.00016,3.54,0.041,0.0
14:15:20.932,27.39,0.0023,0.0071,0.0023,0,0,-0.00015,3.57,0.235,0.0
